Sample,Monocyte CD10 proportion,Monocyte CD63 proportion,Monocyte CD10+CD63+,Monocyte CD10+CD63-,Monocyte CD10-CD63+,Monocyte CD10-CD63-,Monocyte CD10+CD11b+CD62L+CD63+,Monocyte CD10+CD11b+CD62L+CD63-,Monocyte CD10+CD11b+CD62L-CD63+,Monocyte CD10+CD11b+CD62L-CD63-,Monocyte CD10+CD11b-CD62L+CD63+,Monocyte CD10+CD11b-CD62L+CD63-,Monocyte CD10+CD11b-CD62L-CD63+,Monocyte CD10+CD11b-CD62L-CD63-,Monocyte CD10-CD11b+CD62L+CD63+,Monocyte CD10-CD11b+CD62L+CD63-,Monocyte CD10-CD11b+CD62L-CD63+,Monocyte CD10-CD11b+CD62L-CD63-,Monocyte CD10-CD11b-CD62L+CD63+,Monocyte CD10-CD11b-CD62L+CD63-,Monocyte CD10-CD11b-CD62L-CD63+,Monocyte CD10-CD11b-CD62L-CD63-,Monocyte CD10 MFI,Monocyte CD63 MFI,Monocyte CD10+ MFI,Monocyte CD63+ MFI,LAB ID,Sample Type,Sample Quality,CD3 Staining,CD11b Staining,Panel
Samples_CUG11T New Myeloid Panel 1 Nasal_001.fcs,0.62,48.8,0.62,0,48.1,51.2,0,0,0.62,0,0,0,0,0,11.6,0.62,24.4,2.5,0,0.62,12.2,47.5,73.8,4579,588,11570,CUG11T,Nasal,Good,Stained,Stained,NewMF
Samples_CUG12H New Myeloid Panel 1 Nasal_001.fcs,37.4,80.2,28.9,8.51,51.4,11.2,0.61,0,0.61,0,12.2,0.61,15.5,7.9,0.61,0,6.08,1.22,3.34,0.3,41.3,9.73,176,2957,414,3752,CUG12H,Nasal,Good,Stained,Stained,NewMF
Samples_CUG12I New Myeloid Panel 1 Nasal_001.fcs,22.9,49.8,8.49,14.4,41.3,35.8,0,0,0.74,1.85,2.21,1.85,5.54,10.7,2.58,0,5.54,1.85,4.43,2.21,28.8,31.7,147,1660,354,3856,CUG12I,Nasal,Good,Stained,Stained,NewMF
Samples_CUG12M New Myeloid Panel 1 Nasal_001.fcs,0,78.5,0,0,78.5,21.5,0,0,0,0,0,0,0,0,1.27,0,3.8,1.27,8.86,1.27,64.6,19,53.3,2001,n/a,2323,CUG12M,Nasal,Good,Stained,Stained,NewMF
Samples_CUG12R New Myeloid Panel 1 Nasal_001.fcs,2.65,52.9,0.29,2.35,52.6,44.7,0,0.29,0.29,2.06,0,0,0,0,0,0.29,37.9,35.9,0,0,14.7,8.53,112,1837,667,2988,CUG12R,Nasal,Good,Stained,Stained,NewMF
Samples_CUG12S New Myeloid Panel 1 Nasal_001.fcs,1.06,39.2,0,1.06,39.2,59.8,0,0,0,0,0,0,0,1.06,0.53,1.06,25.9,28.6,0,3.7,12.7,26.5,103,1000,850,1655,CUG12S,Nasal,Good,Stained,Stained,NewMF
Samples_CUG123 New Myeloid Panel 1 Nasal_001.fcs,0,41.7,0,0,41.7,58.3,0,0,0,0,0,0,0,0,0,0,8.33,16.7,0,0,33.3,41.7,70.4,2307,n/a,4756,CUG123,Nasal,Good,Stained,Stained,NewMF
Samples_CUG124 New Myeloid Panel 1 Nasal_001.fcs,0,52,0,0,52,48,0,0,0,0,0,0,0,0,0.44,0,7.93,2.2,0,0.44,43.6,45.4,64.7,2737,n/a,5481,CUG124,Nasal,Good,Stained,Stained,NewMF
Samples_CUG125 New Myeloid Panel 1 Nasal_001.fcs,3.23,87.1,3.23,0,83.9,12.9,1.61,0,1.61,0,0,0,0,0,1.61,0,27.4,0,0,0,54.8,12.9,80.6,4789,1429,5443,CUG125,Nasal,Good,Stained,Stained,NewMF
Samples_CUG127 New Myeloid Panel 1 Nasal_001.fcs,8,64,0,8,64,28,0,0,0,4,0,0,0,4,0,0,4,0,4,0,56,28,55.2,1849,461,4318,CUG127,Nasal,Good,Stained,Stained,NewMF
Samples_CUG129 New Myeloid Panel 1 Nasal_001.fcs,0,15.3,0,0,15.3,84.7,0,0,0,0,0,0,0,0,0,0,0,6.78,0,3.39,15.3,74.6,43.6,1291,n/a,4855,CUG129,Nasal,Good,Stained,Stained,NewMF
Samples_CUG11Y New Myeloid Panel 1 Nasal_001.fcs,0,82.4,0,0,82.4,17.6,0,0,0,0,0,0,0,0,9.8,0,0,0,2.94,0,69.6,17.6,51.5,2691,n/a,3480,CUH11Y,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG12 New Myeloid Panel 1 Nasal_001.fcs,14.3,42.9,0,14.3,42.9,42.9,0,0,0,14.3,0,0,0,0,0,0,0,0,0,0,42.9,42.9,71.2,939,776,1247,CUG12,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG12B New Myeloid Panel 1 Nasal_001.fcs,0,50.7,0,0,50.7,49.3,0,0,0,0,0,0,0,0,0,0,2.82,1.41,0,0,47.9,47.9,58.7,905,n/a,1381,CUG12B,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG12C New Myeloid Panel 1 Nasal_001.fcs,0,51.6,0,0,51.6,48.4,0,0,0,0,0,0,0,0,0,0,6.25,1.56,0,0,45.3,46.9,35,1521,n/a,2442,CUG12C,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG12D New Myeloid Panel 1 Nasal_001.fcs,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,76.9,325,n/a,n/a,CUG12D,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG12E New Myeloid Panel 1 Nasal_001.fcs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,CUG12E,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG12F New Myeloid Panel 1 Nasal_001.fcs,0,37.6,0,0,37.6,62.4,0,0,0,0,0,0,0,0,4.95,4.95,16.8,0.99,2.97,9.9,12.9,46.5,58.1,584,n/a,1185,CUG12F,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG12G New Myeloid Panel 1 Nasal_001.fcs,0,57.1,0,0,57.1,42.9,0,0,0,0,0,0,0,0,7.14,7.14,7.14,0,0,7.14,42.9,28.6,56.1,1185,n/a,1566,CUG12G,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG12J New Myeloid Panel 1 Nasal_001.fcs,1.64,73.8,0,1.64,73.8,24.6,0,0,0,0,0,0,0,1.64,0,0,9.84,0,0,1.64,63.9,23,61.5,1592,26411,1766,CUG12J,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG12K New Myeloid Panel 1 Nasal_001.fcs,0,82.4,0,0,82.4,17.6,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,79.4,17.6,63.1,1749,n/a,1867,CUG12K,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG12N New Myeloid Panel 1 Nasal_001.fcs,0,79.4,0,0,79.4,20.6,0,0,0,0,0,0,0,0,14.3,0,11.3,2.39,6.27,1.19,47.5,17,64.9,3765,n/a,5096,CUG12N,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG12P New Myeloid Panel 1 Nasal_001.fcs,0,70.1,0,0,70.1,29.9,0,0,0,0,0,0,0,0,0,0,0,0.54,4.35,0,65.8,29.3,58.3,1095,n/a,1531,CUG12P,Nasal,Good,Not Stained,Not Stained,NewMF
Samples_CUG12T New Myeloid Panel 1 Nasal_001.fcs,0.8,90.6,0.69,0.11,89.9,9.31,0.057,0.057,0.57,0.057,0,0,0.057,0,10.2,0.8,66.2,4.17,0.34,0.11,13.1,4.23,134,2947,498,3175,CUG12T,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG12U New Myeloid Panel 1 Nasal_001.fcs,0,50,0,0,50,50,0,0,0,0,0,0,0,0,2.38,7.14,4.76,2.38,2.38,0,40.5,40.5,54.2,1287,n/a,2783,CUG12U,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG12V New Myeloid Panel 1 Nasal_001.fcs,2.82,45.8,0.7,2.11,45.1,52.1,0.7,0,0,0.7,0,0,0,1.41,0.7,0.7,8.45,3.52,0.7,0,35.2,47.9,38.8,805,246,1687,CUG12V,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG12X New Myeloid Panel 1 Nasal_001.fcs,11.1,55.6,0,11.1,55.6,33.3,0,0,0,11.1,0,0,0,0,0,0,11.1,0,0,0,44.4,33.3,71.2,1141,776,1247,CUG12X,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG12Y New Myeloid Panel 1 Nasal_001.fcs,0,13,0,0,13,87,0,0,0,0,0,0,0,0,0,3,9,44,0,0,4,40,57.2,413,n/a,1440,CUG12Y,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG12Z New Myeloid Panel 1 Nasal_001.fcs,0.69,80,0.69,0,79.3,20,0,0,0.69,0,0,0,0,0,3.45,0,42.8,0.69,0,0,33.1,19.3,70.4,3353,808,4378,CUG12Z,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG14H New Myeloid Panel 1 Nasal_001.fcs,7.63,80.9,4.58,3.05,76.3,16,0,0,4.58,3.05,0,0,0,0,2.29,0,51.1,3.82,0,0,22.9,12.2,76.5,2928,973,3552,CUG14H,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG14K New Myeloid Panel 1 Nasal_001.fcs,19.8,70,14.6,5.27,55.5,24.7,0.21,0,0.21,0.21,4.85,1.27,9.28,3.8,1.05,0.21,5.7,0.84,13.9,3.16,34.8,20.5,193,2897,747,4937,CUF14K,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG130 New Myeloid Panel 1 Nasal_001.fcs,0,82,0,0,82,18,0,0,0,0,0,0,0,0,3,0,23,1,0,1,56,16,62.1,2500,n/a,2718,CUG130,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG131 New Myeloid Panel 1 Nasal_001.fcs,0,60.5,0,0,60.5,39.5,0,0,0,0,0,0,0,0,0.76,1.9,17.1,8.75,0.38,0,42.2,28.9,54.2,1417,n/a,2082,CUG131,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG132 New Myeloid Panel 1 Nasal_001.fcs,0,50.7,0,0,50.7,49.3,0,0,0,0,0,0,0,0,1.49,2.99,8.96,1.49,1.49,0,38.8,44.8,55.8,1239,n/a,2442,CUG132,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG134 New Myeloid Panel 1 Nasal_001.fcs,0,36.4,0,0,36.4,63.6,0,0,0,0,0,0,0,0,0,0,4.55,0,4.55,0,27.3,63.6,59.8,1178,n/a,2138,CUG134,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG135 New Myeloid Panel 1 Nasal_001.fcs,6.12,77.6,4.08,2.04,73.5,20.4,0,0,4.08,0,0,2.04,0,0,2.04,6.12,26.5,2.04,2.04,0,42.9,12.2,74.9,2061,2524,2517,CUG135,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG153 New Myeloid Panel 1 Nasal_001.fcs,0.89,72.3,0,0.89,72.3,26.8,0,0,0,0,0,0,0,0.89,0,0,0.89,0.89,0.89,1.79,70.5,24.1,49.7,3552,583,4658,CUG153,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG154 New Myeloid Panel 1 Nasal_001.fcs,0.48,75.1,0.48,0,74.6,24.9,0,0,0.48,0,0,0,0,0,2.39,0,17.2,2.87,2.87,0.48,52.2,21.5,67.1,1566,907,2096,CUG154,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG155 New Myeloid Panel 1 Nasal_001.fcs,0,37.8,0,0,37.8,62.2,0,0,0,0,0,0,0,0,2.39,5.74,15.3,7.66,0.48,0.96,19.6,47.8,65.5,911,n/a,1949,CUG155,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG10P New Myeloid Panel 1 Nasal_001.fcs,0.3,48.8,0.3,0,48.5,51.2,0,0,0,0,0,0,0.3,0,0.89,0.15,9.64,1.04,0.3,0.74,37.7,49.3,57.6,2967,1460,6755,CUG10P,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG10Q New Myeloid Panel 1 Nasal_001.fcs,0,29.9,0,0,29.9,70.1,0,0,0,0,0,0,0,0,0.28,1.39,1.11,0.83,0.28,0,28.3,67.9,52.8,1394,n/a,4245,CUG10Q,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG10R New Myeloid Panel 1 Nasal_001.fcs,0,72.9,0,0,72.9,27.1,0,0,0,0,0,0,0,0,21.8,4.89,17.7,6.02,2.26,0.38,31.2,15.8,82.7,2691,n/a,3601,CUG10R,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG10S New Myeloid Panel 1 Nasal_001.fcs,2.22,31.1,0,2.22,31.1,66.7,0,0,0,2.22,0,0,0,0,0,0,4.44,2.22,0,0,26.7,64.4,62.9,931,632,2338,CUG10S,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG10T New Myeloid Panel 1 Nasal_001.fcs,0,44.1,0,0,44.1,55.9,0,0,0,0,0,0,0,0,0.59,1.18,10,5.88,0,0,33.5,48.8,55.6,1749,n/a,3008,CUG10T,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG11R New Myeloid Panel 1 Nasal_001.fcs,1.23,62.2,1.23,0,61,37.8,0,0,1.03,0,0,0,0.21,0,1.44,0,29,2.26,0,0,30.6,35.5,67.5,1597,391,2620,CUG11R,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG11S New Myeloid Panel 1 Nasal_001.fcs,0,64.5,0,0,64.5,35.5,0,0,0,0,0,0,0,0,0.81,0,11.7,2.02,1.61,0,50.4,33.5,59.6,1994,n/a,2988,CUG11S,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG120 New Myeloid Panel 1 Nasal_001.fcs,0,39,0,0,39,61,0,0,0,0,0,0,0,0,0,1.22,12.2,4.88,0,1.22,26.8,53.7,60.2,853,n/a,1766,CUG120,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG121 New Myeloid Panel 1 Nasal_001.fcs,0,33.8,0,0,33.8,66.2,0,0,0,0,0,0,0,0,0,2.6,3.9,3.9,0,0,29.9,59.7,78.7,766,n/a,2096,CUG121,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUG122 New Myeloid Panel 1 Nasal_001.fcs,0.72,41.2,0.24,0.48,41,58.3,0,0,0.24,0.48,0,0,0,0,1.44,4.08,10.8,7.43,0.24,0.24,28.5,46.5,65.7,1279,1464,2709,CUG122,Nasal,Good,Not Stained,Stained,NewMF
